Claim_Number,Process,Activity,First_TimeStamp,Active_Minutes
40043585,Desktop Management,Analysis - Desktop Management,2024-12-11 17:54:00,5.662605221006178
40043585,Desktop Management,Analysis - Desktop Management,2024-12-11 18:34:00,1.677966232167478
40043585,Communication,Documentation - Communication,2024-12-11 20:36:00,0.5235953125196913
40043585,Communication,Check - Communication,2024-12-11 21:07:00,24.619091152837708
40043585,Communication,Update - Communication,2024-12-11 21:12:00,0.949207831823008
40043585,Liability,Documentation - Liability,2024-12-12 00:04:00,22.392808225093894
40043585,Liability,Assessment - Liability,2024-12-12 01:02:00,19.02253358553752
40043585,Liability,Update - Liability,2024-12-12 01:50:00,7.994982545309381
40043585,Claim Admin,Assessment - Claim Admin,2024-12-12 06:45:00,5.485569647955131
40043585,Total Loss,Documentation - Total Loss,2024-12-12 11:21:00,4.411464212746629
40043585,Total Loss,Update - Total Loss,2024-12-12 11:36:00,10.153367838174587
40043585,Total Loss,Entry - Total Loss,2024-12-12 12:08:00,1.8085060709710605
40043585,Claim Admin,Entry - Claim Admin,2024-12-12 15:28:00,3.2525637222570447
40043585,Coverage,Approval - Coverage,2024-12-12 20:41:00,4.929899848381275
40043585,Coverage,Review - Coverage,2024-12-12 21:19:00,2.7482626810245048
40043585,Coverage,Review - Coverage,2024-12-12 21:51:00,2.8885944142798055
40043585,Coverage,Documentation - Coverage,2024-12-12 22:02:00,2.1045126687582965
40043585,Claim related teams chats,Assessment - Claim related teams chats,2024-12-13 00:30:00,4.253224333367971
40043585,Claim related teams chats,Update - Claim related teams chats,2024-12-13 01:28:00,9.604787628013318
40043585,Claim related teams chats,Assessment - Claim related teams chats,2024-12-13 01:43:00,1.2252792555119296
40043585,Claim related teams chats,Check - Claim related teams chats,2024-12-13 02:01:00,13.723416747176255
40043585,Claim related teams chats,Check - Claim related teams chats,2024-12-13 03:17:00,5.9412212568912
40043585,Claim related teams chats,Update - Claim related teams chats,2024-12-13 04:01:00,8.765751567050781
40043585,Coverage,Documentation - Coverage,2024-12-13 07:37:00,4.1618014835584525
40043585,Coverage,Processing - Coverage,2024-12-13 08:22:00,7.659666651918515
40043585,Coverage,Review - Coverage,2024-12-13 08:49:00,0.18166529251670321
40043585,Coverage,Documentation - Coverage,2024-12-13 09:09:00,8.629205127799828
40043585,Claim Admin,Analysis - Claim Admin,2024-12-13 11:44:00,0.3048332493146243
40043585,Claim Admin,Assessment - Claim Admin,2024-12-13 12:31:00,11.132438677425304
40043585,Claim Admin,Review - Claim Admin,2024-12-13 12:53:00,24.218339752657155
40043585,Claim Admin,Assessment - Claim Admin,2024-12-13 13:07:00,1.8411780077289923
40048984,Settlement,Entry - Settlement,2024-12-02 12:38:00,11.146156976364958
40048984,Settlement,Assessment - Settlement,2024-12-02 12:58:00,1.7942424636730938
40048984,Settlement,Assessment - Settlement,2024-12-02 13:31:00,2.3926365759416948
40048984,Settlement,Processing - Settlement,2024-12-02 14:16:00,0.3992381142185304
40048984,Recovery,Entry - Recovery,2024-12-02 18:01:00,0.6911718817835567
40048984,Settlement,Entry - Settlement,2024-12-02 23:23:00,3.7269254399420304
40048984,Settlement,Entry - Settlement,2024-12-02 23:58:00,1.657092336128623
40048984,Settlement,Assessment - Settlement,2024-12-03 00:33:00,9.123622538735031
40048984,Settlement,Assessment - Settlement,2024-12-03 01:26:00,0.17401202847220854
40048984,Schedule Services,Check - Schedule Services,2024-12-03 04:22:00,2.4828782782735357
40048984,Schedule Services,Documentation - Schedule Services,2024-12-03 04:36:00,2.157508056708215
40048984,Schedule Services,Check - Schedule Services,2024-12-03 05:36:00,0.1975842583493856
40048984,Schedule Services,Check - Schedule Services,2024-12-03 05:41:00,0.7640491165229435
40048984,Recovery,Update - Recovery,2024-12-03 09:31:00,2.7691295273787273
40048984,Schedule Services,Check - Schedule Services,2024-12-03 13:53:00,3.49488609616996
40048984,Schedule Services,Check - Schedule Services,2024-12-03 14:15:00,2.69000441619861
40048984,Schedule Services,Update - Schedule Services,2024-12-03 15:11:00,3.885098187566613
40048984,Settlement,Assessment - Settlement,2024-12-03 19:19:00,4.620966939817584
40048984,Settlement,Assessment - Settlement,2024-12-03 20:07:00,0.14986695229076358
40049115,Recovery,Assessment - Recovery,2024-12-04 21:12:00,1.1652032465324966
40049115,Recovery,Approval - Recovery,2024-12-04 21:48:00,4.450689792558521
40049115,Recovery,Approval - Recovery,2024-12-04 22:22:00,3.625930078589996
40049115,Recovery,Approval - Recovery,2024-12-04 23:00:00,2.6428187120501367
40049115,Desktop Management,Analysis - Desktop Management,2024-12-05 02:39:00,0.7370675228548551
40049115,Desktop Management,Documentation - Desktop Management,2024-12-05 02:48:00,2.7953424924557155
40049115,Desktop Management,Review - Desktop Management,2024-12-05 03:46:00,0.4777270497686942
