CLAIM_NBR,CLAIM_SID,CLAIM_RPTD_DT,CLAIM_OPEN_DT,CLAIM_CLSD_DT,CLAIM_REOPND_DT,CLAIM_STTS_DESC,CLAIM_CLSD_OUTCM_CD,CLAIM_CLSD_OUTCM_TYPE_CD,CLAIM_CLSD_OUTCM_TYPE_DESC,CLAIM_REOPND_RSN_DESC,CLAIM_STRGY_DESC,CLAIM_SEG_DESC,CLAIM_TIER_DESC,CLAIM_RPT_TYPE_DESC,CLAIM_OWNR_CNTCT_ID,CLAIM_OWNR_SYS_USER_ID,CLAIM_OWNR_EMPLY_NBR,RPT_TAKR_CNTCT_ID,RPT_TAKR_SYS_USER_ID,RPT_TAKR_EMPLY_NBR,ASSGD_BY_CNTCT_ID,ASSGD_BY_SYS_USER_ID,ASSGD_BY_EMPLY_NBR,LOSS_DT,LOSS_TYPE_DESC,LOSS_CITY_NME,LOSS_ST_CD,LOSS_ST_DESC,LOSS_ZIP_CD,LOSS_CNTY_NME,CAT_IND,CAT_CD,FAULT_RATE,FAULT_RTG_DESC,LOSS_CAUS_CTGRY_DESC,LOSS_CAUS_TYP_DESC,LOSS_CTGRY_TYP_DESC,XTRNAL_RCSTN_SRCE_TYP,XTRNAL_RCSTN_SRCE_DESC,LOSS_CAUS_CTGRY_CD,POLICY_NBR,POLICY_ST_CD,POLICY_ST_DESC,RPTD_BY_TYPE_DESC,FLAGD_DESC,FLAGD_CD,FLAGD_DT,POLICY_EFCTV_DT,POLICY_XPRTN_DT,POLICY_FIRST_YR,POLICY_STTS_CD,POLICY_STTS_DESC,NEW_POLICY_IND,POLICY_TOTAL_VEHICLES,POLICY_TOTAL_PROPERTIES,LSVL_IND,RPTG_ENTY_CD,RPTG_ENTY_DESC,BRAND_CD,BRAND_DESC,AGNT_DIV,AGNT_ZONE,AGNT_STAT,AGNT_ID,PRDCT_LINE_CD,PRDCT_LINE_DESC,POLICY_SRCE_CD,POLICY_SRCE_DESC,NAIC_RPTG_POLICY_NBR,POLICY_SYMBL_CD,POLICY_CO_CD,POLICY_MRKT_CD,INVOL_MRKT_IND,REFRL_SRCE_CD,REFRL_SRCE_DESC,CNTRL_ACCESS_IND,EMPLY_CLAIM_IND,DM_BEGN_DT,DM_END_DT,DM_CRRNT_ROW_IND,DM_ROW_PRCS_DT,DM_ROW_PRCS_UPDT_DT,CNVRTD_CLAIM_IND,DM_INSRT_AUDIT_ID,DM_UPDT_AUDIT_ID,CLAIM_STTS_CD,CLAIM_CLSD_OUTM_CD,CLAIM_REOPND_RSN_CD,CLAIM_STRGY_CD,CLAIM_SEG_CD,CLAIM_TIER_CD,CLAIM_RPT_TYPE_CD,LOSS_TYPE_CD,FAULT_RTG_CD,EXPSR_ID,INCDT_ID,LM_VISION_SUFX_NBR,EXPSR_NBR,VISION_ID_NBR,EXPSR_OPEN_DTM,EXPSR_CLSD_DTM,EXPSR_REOPND_DT,SUBRO_IND,MCCA_IND,UCIF_IND,IME_PFRMD_IND,SIU_IND,CVRC_TYPE_DESC,CVRC_SBTYP_DESC,LDB_DTL_CD,LDB_DTL_DESC,EXPSR_ASGMT_STTS_DESC,CLMNT_TYPE_DESC,EXPSR_STTS_DESC,EXPSR_STRGY_DESC,CHANNEL_EXPSR_SEG_CD,EXPSR_TYPE_CD,EXPSR_TIER_DESC,EXPSR_CLSD_OUTCM_TYPE_DESC,EXPSR_REOPND_RSN_DESC,LOSS_PARTY_TYPE_DESC,LOST_PROP_TYPE_DESC,CVRC_TYPE_CD,CVRC_SBTYP_CD,EXPSR_ASGNT_STTS_CD,CLMNT_TYPE_CD,EXPSR_STTS_CD,EXPSR_STRGY_CD,EXPSR_TIER_CD,EXPSR_CLSD_OUTCM_TYPE_CD,LOSS_PARTY_TYPE_CD,EXPSR_OWNR_CNTCT_ID,EXPSR_OWNR_SYS_USER_ID,EXPSR_OWNR_EMPLY_NBR,EXPSR_CLMNT_FIRST_NME,DM_INSRT_AUDIT_ID_EXP,DM_UPDT_AUDIT_ID_EXP,EXPSR_ASSGD_BY_OWNR_CNTCT_ID,EXPSR_ASSGD_BY_OWNR_SYS_USR_ID,EXPSR_ASSGD_BY_OWNR_EMPLY_NBR,EXPSR_INIT_ASSGD_DT,JURIS_ST_CD,JURIS_ST_DESC,CVRC_ISS_TYPE_CD,CVRC_ISS_TYPE_DESC,CVRC_DTRMN_TYPE_CD,CVRC_DTRMN_TYPE_DESC,ORGNG_ISS_IND,INSD_OWN_NONLSTD_VEHCL_IND,VEHCL_LISTED_ON_POLICY_IND,ACDT_LMT_AMT,LBLTY_DTRMN_TYPE_CD,LBLTY_DTRMN_TYPE_DESC,CMPRTY_NGLGNC_IND,EXPSR_ORDER_NBR,FINCL_MGMT_LINE_CD,FINCL_MGMT_LINE_DESC,CRRNT_NCVRA_IND,CVRG_EFCTV_DT,CVRG_XPRTN_DT,CVRG_DEBEL,INIT_EXPSR_SEG_DESC,ASSGD_GRP_NME,SALVAGE_IND,ASSGD_GRP_ID,CVRC_STTS_DESC,ACES_CLAIM_NBR,ACES_CLAIM_ID,LGLTY_TYP_CD,LGLTY_CLAIM_TYP_DESC,MATTER_IND,LTGN_IND
061867825,135209805,12/09/2024,12/09/2024,12/14/2024,,Closed,automatic,incident_only,Incident Only,,Unknown,Unknown,Medium Severity,Digital,n0373563,n0326062,N0393850,n0385181,user:18928,,assign_cc_app_user,assign_cc_app_user,,12/09/2024,Auto,Fort Worth,NY,Florida,75201,,N,,0,Insured not at fault,insdparkedHit,Multi-Vehicle Accident,eFNOL,efnol,eFNOL,4,Y9888662,FL,Illinois,Self/Insured,Never flagged,neverflagged,,02/09/2024,02/08/2025,2024,inforce,In force,N,1,2,N,1780,Liberty County Mutual Insurance Company,SAF,SAF,6,84,5203,5791,AUT,Automobile,AUT,Safeco Auto,ABT29918390409,AB,T,2,N,26,Safeco Regional,N,N,12/09/2024,12/31/9999,Y,12/10/2024,12/15/2024,N,5521319,5548520,closed,automatic,,unknown,digital,medium,digital,AUTO,self,061867825-0001,cc:47755439,1,061867825-0001,061867825-0001,12/10/2024,12/14/2024,,N,N,N,N,N,Uninsured Motorist Property Damage,Collision - Vehicle Damage,PD,Property Damage Liability,Assigned,Owner/Operator of other Vehicle,Closed,APD : Express,apd_tl,VehicleDamage,1st Party Physical Damage - High Complexity,Incident Only,,Third Party,,COLL,coll_vd,assigned,owneroperator,closed,standard,1p_pd_high,incident_only,third_party,n0397647,n0373579,N0370644,Janie,5597912,5576622,assign_cc_app_user,assign_cc_app_user,,12/10/2024,CA,California,cit_afforded,No Issues,cit_no_issues,No Issues,N,N,Y,25000.0,,Liability Denial,N,n0350432,248,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,02/28/2024,02/08/2025,02/09/2025,APD : TL,,Y,,VERIFIED,,,PD,Auto Liability,N,N
062653446,138806110,12/01/2024,12/02/2024,12/27/2024,,Closed,automatic,incident_only,Incident Only,,Unknown,Unknown,Medium Severity,Self/Insured,n0364042,n0302552,N0314662,n0347576,user:15038,,assign_cc_app_user,assign_cc_app_user,,12/01/2024,Auto,San Antonio,IL,California,77001,,N,,4,Insured not at fault,insdparkedHit,Multi Vehicle Accident,eFNOL,eFNOL,efnol,4,Y9704314,FL,New York,Self/Insured,Never flagged,neverflagged,,07/09/2024,07/09/2025,2024,inforce,In force,N,1,2,N,1775,Liberty County Mutual Insurance Company,SAF,SAF,6,84,5203,5069,AUT,AUT,AUT,AUT,ABT29076082500,AB,T,3,N,27,Safeco Regional,N,N,12/02/2024,12/31/9999,Y,12/03/2024,12/28/2024,N,5594811,5574847,closed,automatic,,unknown,digital,digital,digital,AUTO,self,062653446-0001,cc:47231838,1,062653446-0001,062653446-0001,12/03/2024,12/27/2024,,N,N,N,N,N,Collision - Vehicle Damage,Uninsured Motorist Property Damage,PD,Property Damage Liability,Assigned,Insured,Closed,Standard,apd_tl,VehicleDamage,3rd Party Physical Damage - Low Complexity,Incident Only,,Third Party,,COLL,umpd_vd,assigned,insured,closed,standard,3p_pd_low,settled,third_party,n0306630,n0385477,N0370855,Unknown,5512224,5598771,assign_cc_app_user,assign_cc_app_user,,12/03/2024,NY,New York,cit_no_issues,Coverage Afforded,cit_no_issues,No Issues,N,N,N,25000.0,,,N,n0359638,236,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,07/22/2024,07/09/2025,07/10/2025,APD : TL,,N,,VERIFIED,,AL980-HA7446-08,PD,Auto Liability,N,N
068436429,139455408,12/06/2024,12/07/2024,12/10/2024,12/10/2024,Closed,closed,incident_only,Settled,Automated Closing,Unknown,Unknown,Medium Severity,Self/Insured,n0386163,n0376503,N0374085,n0368522,user:15183,N0326772,assign_cc_app_user,assign_cc_app_user,,12/04/2024,Auto,Houston,FL,New York,75201,,N,,0,Insured not at fault,multiVehicleAccidentAuto,Multi-Vehicle Accident,eFNOL,eFNOL,efnol,12,Y9978593,FL,Texas,Self/Insured,Never Flagged,neverflagged,,08/16/2024,08/16/2025,2024,inforce,In Force,N,3,1,N,1785,Liberty County Mutual Insurance Company,SAF,SAF,6,34,5203,5911,AUT,AUT,AUT,Safeco Auto,ABT29292431670,T,T,3,N,26,Safeco Regional,N,N,12/07/2024,12/31/9999,Y,12/08/2024,12/11/2024,N,5566244,5564032,closed,automatic,unknown,unknown,digital,digital,digital,AUTO,self,068436429-0001,cc:42194789,1,068436429-0001,068436429-0001,12/08/2024,12/10/2024,,N,N,N,N,N,Collision - Vehicle Damage,Collision - Vehicle Damage,PD,Property Damage Liability,Assigned,Owner/Operator of other Vehicle,Closed,APD : TL,apd_tl,VehicleDamage,3rd Party Physical Damage - Low Complexity,Settled,,Third Party,,UMPD,lipd_vd,assigned,insured,closed,standard,3p_pd_low,incident_only,insured,n0373385,n0353264,N0381351,,5520257,5531029,assign_cc_app_user,assign_cc_app_user,,12/08/2024,TX,California,cit_afforded,Coverage Afforded,cit_no_issues,Coverage Afforded,N,N,Y,25000.0,,Liability Denial,N,n0361694,228,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,08/22/2024,08/16/2025,08/17/2025,APD : TL,,Y,,VERIFIED,,AL980-HA7446-04,PD,Auto Insured,N,N
068436429,139455408,12/06/2024,12/07/2024,12/10/2024,12/10/2024,Closed,closed,incident_only,Settled,Automated Closing,Unknown,Unknown,Medium Severity,Self/Insured,n0386163,n0376503,N0374085,n0368522,user:15183,N0326772,assign_cc_app_user,assign_cc_app_user,,12/04/2024,Auto,Houston,FL,New York,75201,,N,,0,Insured not at fault,multiVehicleAccidentAuto,Multi-Vehicle Accident,eFNOL,eFNOL,efnol,12,Y9978593,FL,Texas,Self/Insured,Never Flagged,neverflagged,,08/16/2024,08/16/2025,2024,inforce,In Force,N,3,1,N,1785,Liberty County Mutual Insurance Company,SAF,SAF,6,34,5203,5911,AUT,AUT,AUT,Safeco Auto,ABT29292431670,T,T,3,N,26,Safeco Regional,N,N,12/07/2024,12/31/9999,Y,12/08/2024,12/11/2024,N,5566244,5564032,closed,automatic,unknown,unknown,digital,digital,digital,AUTO,self,068436429-0002,cc:44682940,2,068436429-0002,068436429-0002,12/07/2024,12/11/2024,12/10/2024,N,N,N,N,N,Collision,Liability - (Auto) Property Damage,PD,Property Damage Liability,Assigned,Insured,Closed,Standard,apd_tl,VehicleDamage,1st Party Physical Damage,Settled,,Insured,,COLL,umpd_vd,assigned,owneroperator,closed,standard,1p_pd_high,incident_only,third_party,n0347739,n0356531,N0309171,,5543279,5581678,assign_cc_app_user,assign_cc_app_user,,12/08/2024,FL,Illinois,cit_afforded,Coverage Afforded,cit_afforded,Coverage Afforded,N,N,N,25000.0,lblty_denial,,N,n0387153,248,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,09/06/2024,08/16/2025,08/17/2025,APD : Express,,N,,VERIFIED,,AL980-HA7446-71,PD,Auto Insured,N,N
069730529,137703222,12/15/2024,12/16/2024,01/07/2025,,Closed,closed,incident_only,Settled,,Unknown,Unknown,Medium Severity,Self/Insured,n0329444,n0326100,N0319313,n0303201,user:10757,,assign_cc_app_user,assign_cc_app_user,,12/12/2024,Auto,Fort Worth,IL,California,76101,,N,,4,Insured not at Fault,multiVehicleAccidentAuto,Multi-Vehicle Accident,eFNOL,eFNOL,eFNOL,4,Y9229471,CA,Illinois,Self/Insured,Never flagged,neverflagged,,09/11/2024,09/11/2025,2024,inforce,inforce,N,2,2,N,1796,Liberty County Mutual Insurance Company,SAF,Safeco,34,84,5208,5460,AUT,Automobile,AUT,Safeco Auto,ABT29901795907,T,T,3,N,25,Safeco Regional,N,N,12/16/2024,12/31/9999,Y,12/17/2024,01/08/2025,N,5510155,5593525,closed,automatic,,unknown,digital,digital,self,AUTO,self,069730529-0001,cc:42530518,1,069730529-0001,069730529-0001,12/17/2024,01/07/2025,,N,N,N,N,N,Uninsured Motorist Property Damage,Collision - Vehicle Damage,PD,Property Damage Liability,Assigned,Insured,Closed,APD : TL,apd_express,VehicleDamage,1st Party Physical Damage - High Complexity,Settled,,Third Party,,LIPD,umpd_vd,assigned,owneroperator,closed,standard,1p_pd_high,settled,insured,n0370545,n0397978,N0396289,,5579069,5528906,assign_cc_app_user,assign_cc_app_user,,12/17/2024,NY,New York,cit_no_issues,Coverage Afforded,cit_afforded,Coverage Afforded,N,N,Y,,lblty_denial,Liability Denial,N,n0351645,275,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,09/29/2024,09/11/2025,09/12/2025,APD : Express,,N,,VERIFIED,,AL980-HA7446-60,LA,Auto Insured,N,N
063551070,138814294,12/11/2024,12/13/2024,01/11/2025,,Closed,automatic,incident_only,Settled,,Unknown,Unknown,Digital,Digital,n0385215,n0308993,N0385426,n0305276,user:10508,N0326130,assign_cc_app_user,assign_cc_app_user,,12/10/2024,Auto,Austin,TX,Illinois,77001,,N,,4,Insured not at Fault,insdparkedHit,Multi-Vehicle Accident,eFNOL,eFNOL,efnol,12,Y9606794,TX,Florida,Self/Insured,Never Flagged,neverflagged,,10/03/2024,10/03/2025,2024,inforce,inforce,N,3,1,N,1772,Liberty County Mutual Insurance Company,SAF,Safeco,34,34,5203,5518,AUT,Automobile,AUT,Safeco Auto,ABT29912224883,T,T,1,N,27,Safeco Regional,N,N,12/13/2024,12/31/9999,Y,12/14/2024,01/12/2025,N,5592708,5520052,closed,automatic,,unknown,digital,digital,self,AUTO,4,063551070-0001,cc:49940074,1,063551070-0001,063551070-0001,12/13/2024,01/11/2025,,N,N,N,N,N,Uninsured Motorist Property Damage,Liability - (Auto) Property Damage,PD,Property Damage Liability,Assigned,Insured,Closed,apd_tl,apd_tl,VehicleDamage,3rd Party Physical Damage - Low Complexity,Settled,,Insured,,LIPD,umpd_vd,assigned,insured,closed,standard,3p_pd_low,incident_only,third_party,n0331635,n0394381,N0353271,Janie,5572768,5599374,assign_cc_app_user,assign_cc_app_user,,12/14/2024,NY,New York,cit_no_issues,No Issues,cit_afforded,No Issues,N,N,N,25000.0,,,N,n0362031,270,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,10/19/2024,10/03/2025,10/04/2025,APD : TL,,N,,VERIFIED,,,PD,Auto Insured,N,N
063551070,138814294,12/11/2024,12/13/2024,01/11/2025,,Closed,automatic,incident_only,Settled,,Unknown,Unknown,Digital,Digital,n0385215,n0308993,N0385426,n0305276,user:10508,N0326130,assign_cc_app_user,assign_cc_app_user,,12/10/2024,Auto,Austin,TX,Illinois,77001,,N,,4,Insured not at Fault,insdparkedHit,Multi-Vehicle Accident,eFNOL,eFNOL,efnol,12,Y9606794,TX,Florida,Self/Insured,Never Flagged,neverflagged,,10/03/2024,10/03/2025,2024,inforce,inforce,N,3,1,N,1772,Liberty County Mutual Insurance Company,SAF,Safeco,34,34,5203,5518,AUT,Automobile,AUT,Safeco Auto,ABT29912224883,T,T,1,N,27,Safeco Regional,N,N,12/13/2024,12/31/9999,Y,12/14/2024,01/12/2025,N,5592708,5520052,closed,automatic,,unknown,digital,digital,self,AUTO,4,063551070-0002,cc:42024269,2,063551070-0002,063551070-0002,12/14/2024,01/11/2025,,N,N,N,N,N,Collision,Liability - (Auto) Property Damage,PD,Property Damage Liability,Assigned,Insured,Closed,APD - TL,apd_express,VehicleDamage,1st Party Physical Damage,Settled,,Third Party,,LIPD,umpd_vd,assigned,insured,closed,standard,1p_pd_high,incident_only,third_party,n0372529,n0338290,N0391411,Unknown,5583606,5598669,assign_cc_app_user,assign_cc_app_user,,12/14/2024,IL,Florida,cit_afforded,Coverage Afforded,cit_afforded,Coverage Afforded,N,N,Y,25000.0,,,N,n0314953,208,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,10/15/2024,10/03/2025,10/04/2025,APD : TL,,Y,,VERIFIED,,,LA,Auto Liability,N,N
063551070,138814294,12/11/2024,12/13/2024,01/11/2025,,Closed,automatic,incident_only,Settled,,Unknown,Unknown,Digital,Digital,n0385215,n0308993,N0385426,n0305276,user:10508,N0326130,assign_cc_app_user,assign_cc_app_user,,12/10/2024,Auto,Austin,TX,Illinois,77001,,N,,4,Insured not at Fault,insdparkedHit,Multi-Vehicle Accident,eFNOL,eFNOL,efnol,12,Y9606794,TX,Florida,Self/Insured,Never Flagged,neverflagged,,10/03/2024,10/03/2025,2024,inforce,inforce,N,3,1,N,1772,Liberty County Mutual Insurance Company,SAF,Safeco,34,34,5203,5518,AUT,Automobile,AUT,Safeco Auto,ABT29912224883,T,T,1,N,27,Safeco Regional,N,N,12/13/2024,12/31/9999,Y,12/14/2024,01/12/2025,N,5592708,5520052,closed,automatic,,unknown,digital,digital,self,AUTO,4,063551070-0003,cc:43786401,3,063551070-0003,063551070-0003,12/14/2024,01/11/2025,,N,N,N,N,N,Collision - Vehicle Damage,Uninsured Motorist Property Damage,PD,Property Damage Liability,Assigned,Insured,Closed,APD : TL,apd_express,VehicleDamage,1st Party Physical Damage,Incident Only,,Third Party,,COLL,lipd_vd,assigned,owneroperator,closed,standard,3p_pd_low,incident_only,insured,n0359048,n0390357,N0377832,Janie,5538175,5504278,assign_cc_app_user,assign_cc_app_user,,12/15/2024,FL,New York,cit_no_issues,No Issues,cit_afforded,No Issues,N,N,N,25000.0,lblty_denial,Liability Denial,N,n0334816,218,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,10/05/2024,10/03/2025,10/04/2025,APD : Express,,N,,VERIFIED,,AL980-HA7446-57,PD,Auto Insured,N,N
068396529,139529693,12/16/2024,12/16/2024,01/05/2025,,Closed,automatic,settled,Incident Only,,Unknown,Unknown,Medium Severity,Self/Insured,n0375529,n0305273,N0399125,n0322962,user:17708,N0357963,assign_cc_app_user,assign_cc_app_user,,12/12/2024,Auto,Fort Worth,NY,Texas,78701,,N,,4,Insured not at Fault,insdparkedHit,Multi Vehicle Accident,eFNOL,eFNOL,efnol,4,Y9727369,NY,Florida,Self/Insured,Never flagged,neverflagged,,09/28/2024,09/28/2025,2024,inforce,In force,N,2,0,N,1765,Liberty County Mutual Insurance Company,SAF,Safeco,34,84,5203,5530,AUT,Automobile,AUT,AUT,ABT29671527524,T,T,1,N,26,Safeco Regional,N,N,12/16/2024,12/31/9999,Y,12/17/2024,01/06/2025,N,5557424,5591521,closed,automatic,,unknown,apd_tl,medium,digital,AUTO,4,068396529-0001,cc:40229419,1,068396529-0001,068396529-0001,12/17/2024,01/05/2025,,N,N,N,N,N,Liability Property Damage,Liability - (Auto) Property Damage,PD,Property Damage Liability,Assigned,Owner/Operator of other Vehicle,Closed,APD - TL,apd_express,VehicleDamage,1st Party Physical Damage - High Complexity,Settled,,Insured,,UMPD,umpd_vd,assigned,insured,closed,standard,3p_pd_low,settled,insured,n0344548,n0366550,N0335018,Unknown,5537072,5595164,assign_cc_app_user,assign_cc_app_user,,12/17/2024,NY,Illinois,cit_afforded,Coverage Afforded,cit_afforded,Coverage Afforded,N,N,N,,lblty_denial,Liability Denial,N,n0374946,249,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,10/05/2024,09/28/2025,09/29/2025,APD : TL,,N,,VERIFIED,,AL980-HA7446-50,PD,Auto Liability,N,N
068396529,139529693,12/16/2024,12/16/2024,01/05/2025,,Closed,automatic,settled,Incident Only,,Unknown,Unknown,Medium Severity,Self/Insured,n0375529,n0305273,N0399125,n0322962,user:17708,N0357963,assign_cc_app_user,assign_cc_app_user,,12/12/2024,Auto,Fort Worth,NY,Texas,78701,,N,,4,Insured not at Fault,insdparkedHit,Multi Vehicle Accident,eFNOL,eFNOL,efnol,4,Y9727369,NY,Florida,Self/Insured,Never flagged,neverflagged,,09/28/2024,09/28/2025,2024,inforce,In force,N,2,0,N,1765,Liberty County Mutual Insurance Company,SAF,Safeco,34,84,5203,5530,AUT,Automobile,AUT,AUT,ABT29671527524,T,T,1,N,26,Safeco Regional,N,N,12/16/2024,12/31/9999,Y,12/17/2024,01/06/2025,N,5557424,5591521,closed,automatic,,unknown,apd_tl,medium,digital,AUTO,4,068396529-0002,cc:41683838,2,068396529-0002,068396529-0002,12/17/2024,01/05/2025,,N,N,N,N,N,Collision - Vehicle Damage,Liability - (Auto) Property Damage,PD,Property Damage Liability,Assigned,Owner/Operator of other Vehicle,Closed,apd_tl,apd_express,VehicleDamage,1st Party Physical Damage - High Complexity,Settled,,Third Party,,UMPD,coll_vd,assigned,insured,closed,standard,1p_pd_high,incident_only,third_party,n0356881,n0312903,N0399663,,5592260,5513173,assign_cc_app_user,assign_cc_app_user,,12/17/2024,FL,Texas,cit_no_issues,Coverage Afforded,cit_no_issues,Coverage Afforded,N,N,N,,,Liability Denial,N,n0332007,267,PRIVATE PASSENGER AUTO LIABILITY-PROPERTY DAMAGE,N,10/11/2024,09/28/2025,09/29/2025,APD : Express,,Y,,VERIFIED,,AL980-HA7446-80,PD,Auto Liability,N,N
